run,species,mulch,rate,rate.L,rep,count,count.m2,seed,cum.emerg
b,barnyardgrass,HM,1,12.7,3,0,0,25,0
b,barnyardgrass,HM,1,12.7,4,0,0,25,0
b,barnyardgrass,HM,0.75,9.525,1,0,0,25,0
b,barnyardgrass,HM,0.75,9.525,2,0,0,25,0
b,barnyardgrass,HM,0.75,9.525,3,0,0,25,0
b,barnyardgrass,HM,0.75,9.525,4,0,0,25,0
b,barnyardgrass,HM,0.5,6.35,1,0,0,25,0
b,barnyardgrass,HM,0.5,6.35,2,0,0,25,0
b,barnyardgrass,HM,0.5,6.35,3,0,0,25,0
b,barnyardgrass,HM,0.5,6.35,4,0,0,25,0
b,barnyardgrass,HM,0.25,3.175,1,0,0,25,0
b,barnyardgrass,HM,0.25,3.175,2,5,500,25,20
b,barnyardgrass,HM,0.25,3.175,3,0,0,25,0
b,barnyardgrass,HM,0.25,3.175,4,1,100,25,4
b,barnyardgrass,HM,0,0,1,9,900,25,36
b,barnyardgrass,HM,0,0,2,20,2000,25,80
b,barnyardgrass,HM,0,0,3,13,1300,25,52
b,barnyardgrass,HM,0,0,4,20,2000,25,80
b,oat,HM,1,12.7,1,0,0,25,0
b,oat,HM,1,12.7,2,0,0,25,0
b,oat,HM,1,12.7,3,0,0,25,0
b,oat,HM,1,12.7,4,0,0,25,0
b,oat,HM,0.75,9.525,1,0,0,25,0
b,oat,HM,0.75,9.525,2,0,0,25,0
b,oat,HM,0.75,9.525,3,0,0,25,0
b,oat,HM,0.75,9.525,4,0,0,25,0
b,oat,HM,0.5,6.35,1,0,0,25,0
b,oat,HM,0.5,6.35,2,0,0,25,0
b,oat,HM,0.5,6.35,3,3,300,25,12
b,oat,HM,0.5,6.35,4,1,100,25,4
b,oat,HM,0.25,3.175,1,2,200,25,8
b,oat,HM,0.25,3.175,2,7,700,25,28
b,oat,HM,0.25,3.175,3,0,0,25,0
b,oat,HM,0.25,3.175,4,0,0,25,0
b,oat,HM,0,0,1,16,1600,25,64
b,oat,HM,0,0,2,21,2100,25,84
b,oat,HM,0,0,3,17,1700,25,68
b,oat,HM,0,0,4,18,1800,25,72
b,pea,HM,1,12.7,1,0,0,25,0
b,pea,HM,1,12.7,2,0,0,25,0
b,pea,HM,1,12.7,3,0,0,25,0
b,pea,HM,1,12.7,4,0,0,25,0
b,pea,HM,0.75,9.525,1,0,0,25,0
b,pea,HM,0.75,9.525,2,0,0,25,0
b,pea,HM,0.75,9.525,3,0,0,25,0
b,pea,HM,0.75,9.525,4,1,100,25,4
b,pea,HM,0.5,6.35,1,1,100,25,4
b,pea,HM,0.5,6.35,2,0,0,25,0
b,pea,HM,0.5,6.35,3,3,300,25,12
b,pea,HM,0.5,6.35,4,0,0,25,0
b,pea,HM,0.25,3.175,1,0,0,25,0
b,pea,HM,0.25,3.175,2,12,1200,25,48
b,pea,HM,0.25,3.175,3,1,100,25,4
b,pea,HM,0.25,3.175,4,2,200,25,8
b,pea,HM,0,0,1,18,1800,25,72
b,pea,HM,0,0,2,23,2300,25,92
b,pea,HM,0,0,3,18,1800,25,72
b,pea,HM,0,0,4,22,2200,25,88
c,barnyardgrass,HM,1,12.7,1,0,0,25,0
c,barnyardgrass,HM,1,12.7,2,0,0,25,0
c,barnyardgrass,HM,1,12.7,3,0,0,25,0
c,barnyardgrass,HM,1,12.7,4,0,0,25,0
c,barnyardgrass,HM,0.75,9.525,1,0,0,25,0
c,barnyardgrass,HM,0.75,9.525,2,0,0,25,0
c,barnyardgrass,HM,0.75,9.525,3,0,0,25,0
c,barnyardgrass,HM,0.75,9.525,4,0,0,25,0
c,barnyardgrass,HM,0.5,6.35,1,0,0,25,0
c,barnyardgrass,HM,0.5,6.35,2,0,0,25,0
c,barnyardgrass,HM,0.5,6.35,3,0,0,25,0
c,barnyardgrass,HM,0.5,6.35,4,0,0,25,0
c,barnyardgrass,HM,0.25,3.175,1,0,0,25,0
c,barnyardgrass,HM,0.25,3.175,2,2,200,25,8
c,barnyardgrass,HM,0.25,3.175,3,0,0,25,0
c,barnyardgrass,HM,0.25,3.175,4,0,0,25,0
c,barnyardgrass,HM,0,0,1,14,1400,25,56
c,barnyardgrass,HM,0,0,2,17,1700,25,68
c,barnyardgrass,HM,0,0,3,16,1600,25,64
c,barnyardgrass,HM,0,0,4,17,1700,25,68
c,oat,HM,1,12.7,1,0,0,25,0
c,oat,HM,1,12.7,2,0,0,25,0
c,oat,HM,1,12.7,3,0,0,25,0
c,oat,HM,1,12.7,4,0,0,25,0
c,oat,HM,0.75,9.525,1,0,0,25,0
c,oat,HM,0.75,9.525,2,0,0,25,0
c,oat,HM,0.75,9.525,3,0,0,25,0
c,oat,HM,0.75,9.525,4,0,0,25,0
c,oat,HM,0.5,6.35,1,0,0,25,0
c,oat,HM,0.5,6.35,2,0,0,25,0
c,oat,HM,0.5,6.35,3,0,0,25,0
c,oat,HM,0.5,6.35,4,2,200,25,8
c,oat,HM,0.25,3.175,1,0,0,25,0
c,oat,HM,0.25,3.175,2,0,0,25,0
c,oat,HM,0.25,3.175,3,0,0,25,0
c,oat,HM,0.25,3.175,4,0,0,25,0
c,oat,HM,0,0,1,20,2000,25,80
c,oat,HM,0,0,2,21,2100,25,84
c,oat,HM,0,0,3,21,2100,25,84
c,oat,HM,0,0,4,22,2200,25,88
c,pea,HM,1,12.7,1,0,0,25,0
c,pea,HM,1,12.7,2,0,0,25,0
c,pea,HM,1,12.7,3,0,0,25,0
c,pea,HM,1,12.7,4,0,0,25,0
c,pea,HM,0.75,9.525,1,0,0,25,0
c,pea,HM,0.75,9.525,2,0,0,25,0
c,pea,HM,0.75,9.525,3,0,0,25,0
c,pea,HM,0.75,9.525,4,0,0,25,0
c,pea,HM,0.5,6.35,1,0,0,25,0
c,pea,HM,0.5,6.35,2,0,0,25,0
c,pea,HM,0.5,6.35,3,0,0,25,0
c,pea,HM,0.5,6.35,4,0,0,25,0
c,pea,HM,0.25,3.175,1,0,0,25,0
c,pea,HM,0.25,3.175,2,0,0,25,0
c,pea,HM,0.25,3.175,3,1,100,25,4
c,pea,HM,0.25,3.175,4,0,0,25,0
c,pea,HM,0,0,1,20,2000,25,80
c,pea,HM,0,0,2,18,1800,25,72
c,pea,HM,0,0,3,23,2300,25,92
c,pea,HM,0,0,4,19,1900,25,76
